Genomics_ID,Sample_ID,loc,lat,lon,Coordinates: Exact or Approximate?,Species,Expressed Sex,Leaf Dissection?,Photos,Grid?,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex
T2-105.4,BOWKER-T2-105.4,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-105.5,BOWKER-T2-105.5,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.6,BOWKER-T2-105.6,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.7,BOWKER-T2-105.7,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-105.8,BOWKER-T2-105.8,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.9,BOWKER-T2-105.9,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.10,BOWKER-T2-105.10,,,,,,,,,,M. Bowker,1997,,D12,35,M
T2-120.1,BOWKER-T2-120.1,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-120.2,BOWKER-T2-120.2,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-120.3,BOWKER-T2-120.3,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.4,BOWKER-T2-120.4,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.5,BOWKER-T2-120.5,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.6,BOWKER-T2-120.6,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.7,BOWKER-T2-120.7,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.8,BOWKER-T2-120.8,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.9,BOWKER-T2-120.9,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.10,BOWKER-T2-120.10,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.1,BOWKER-T2-135.1,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.2,BOWKER-T2-135.2,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.3,BOWKER-T2-135.3,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.4,BOWKER-T2-135.4,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.5,BOWKER-T2-135.5,,,,,,,,,,M. Bowker,1997,,D12,35,F
