Coordinates,Female total bryophyte cover,Male total bryophyte cover,S total bryophyte cover,Female average stem height,Male average stem height,S average stem height,Total Max of Total bryophyte cover,Total Average of Stem height
T3 135,0.05,,,3.733333333,,3.142857143,0.05,3.32
T3 15,,,,,,,0,
T3 150,,,,,,,0.025,
T3 165,,,0.025,,,2.12,0.025,2.12
T3 180,,,,,,,0,
T3 195,,,,,,,0,
T3 210,,,0.1,3.4,,2.377777778,0.1,2.48
T3 225,,,,,,,0,
T3 240,,,,,,,0,
T3 255,,,,,,,0,
T3 270,,,,,,,0,
T3 285,0.2,,,2.32,,2.78,0.2,2.55
T3 30,,,,,,,0,
T3 300,0.4,,,2.73,,,0.4,2.73
T3 315,,,0.4,,,1.9,0.4,1.9
T3 330,0.425,,,2.9,,1.6,0.425,1.99
T3 345,,,,,,,0,
T3 375,,,0.025,2.45,,1.9625,0.025,2.06
T3 390,,,0.05,,,1.79,0.05,1.79
T3 405,,,0.3,,,1.76,0.3,1.76
T3 420,,,0.2,,,1.54,0.2,1.54
T3 435,,,,,,,0,
T3 45,,,,,,,0,
T3 450,,,0.075,2.95,,2.216666667,0.075,2.51
T3 465,0.025,,,3.25,,1.7875,0.025,2.08
T3 480,,,0.05,1.9,,1.7,0.05,1.72
T3 495,,,,,,,0,
T3 510,,,,,,,0,
T3 525,0.1,,,3.15,,2.175,0.1,2.76
T3 540,,,0.4,,,2.22,0.4,2.22
T3 555,,,,,,,0,
T3 570,,,0.35,2.25,,1.6125,0.35,1.74
T3 585,,,0.325,,,1.58,0.325,1.58
T3 60,,,,,,,0,
T3 600,,,0.05,2.2,,1.933333333,0.05,2.04
T3 615,0.35,,,2.4,,2.171428571,0.35,2.24
T3 630,0.05,,,2.585714286,,2.2,0.05,2.47
T3 645,,0.1,,2.2,2.9,2.166666667,0.1,2.39
T3 660,,,0.05,,,1.43,0.05,1.43
T3 675,,,0.125,2.325,,2.066666667,0.125,2.17
T3 690,,,0.2,,,1.81,0.2,1.81
T3 705,,,,,,,0.05,
T3 720,,,,,,,0,
T3 735,,,0.05,,,2.04,0.05,2.04
T3 75,,,,,,,0,
T3 750,0.075,,,1.8,,2.022222222,0.075,2
T3 765,,,,,,,0.025,
T3 780,,,,,,,0.6,
T3 90,,,,,,,0,
T4 105,,,,,,,0.025,
T4 120,,,,,,,0,
T4 135,,,,,,,0,
T4 15,,,,,,,0.05,
T4 150 ,,,,,,,0,
T4 165,,,,,,,0.025,
T4 180,,,0.3,,,1.87,0.3,1.87
T4 195,0.025,,,1.066666667,,0.775,0.025,0.95
T4 210,,,0.3,2.2,,2.05,0.3,2.14
T4 225,0.025,,,1.15,,1.175,0.025,1.17
T4 240,,,,,,,0,
T4 255,,,0.5,2,,1.711111111,0.5,1.74
T4 270,,,0.025,2.65,,2.3,0.025,2.44
T4 285,,,0.3,1.75,,1.4125,0.3,1.48
T4 30,,,,,,,0,
T4 300,0.1,,,3,,2.366666667,0.1,2.81
T4 315,,,,,,,0,
T4 330,,,,,,,0,
T4 345,,,0.2,,,1.76,0.2,1.76
T4 360,,,,,,,0,
T4 375,,,0.225,2.45,,1.9625,0.225,2.06
T4 390,,,,,,,0,
T4 405,,,,,,,0,
T4 420,,,,,,,0,
T4 435,,,0.025,,,0.95,0.025,0.95
T4 45,,,,,,,0,
T4 450,,,0.05,,,1.52,0.05,1.52
T4 465,0.1,,,2.2,,2.15,0.1,2.18
T4 480,,,,,,,0.025,
T4 495,,,,,,,0,
T4 510,,,0.025,,,2.08,0.025,2.08
T4 525,0.025,,,1.933333333,,1.728571429,0.025,1.79
T4 540,,,,,,,0.025,
T4 555,,,,,,,0,
T4 570,,,,,,,0,
T4 585,,,0.2,,2.7,2.42,0.2,2.56
T4 60,,,,,,,0,
T4 600,,,0.025,,,1.2,0.025,1.2
T4 615,,,,,,,0,
T4 630,,,0.1,,,1.61,0.1,1.61
T4 645,,,,,,,0,
T4 660,,,,,,,0,
T4 675,,,0.2,1,,1.5,0.2,1.45
T4 690,,,0.025,,,2,0.025,2
T4 705,,,,,,,0,
T4 720,,,,,,,0,
T4 735,,,,,,,0,
T4 75,,,,,,,0,
T4 750,,,,,,,0,
T4 765,,,,,,,0,
T4 90,,,0.05,,,1.82,0.05,1.82
