Genomics_ID,Sample_ID,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex,NOTES,Gel Date,Lab
T1-45.1,BOWKER-T1-45,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-45.2,BOWKER-T1-45,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-45.3,BOWKER-T1-45,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-45.4,BOWKER-T1-45,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-45.5,BOWKER-T1-45,M. Bowker,1997,,D5,27,,DIRECT LEAF PCR,3/15/19,Mishler
T1-45.6,BOWKER-T1-45,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T2-45.11,BOWKER-T2-45.11,M. Bowker,1997,,D11,34,F,DIRECT LEAF PCR,,Mishler
T1-75.1,BOWKER-T1-75,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-75.2,BOWKER-T1-75,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.1,BOWKER-T1-135.1,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.2,BOWKER-T1-135.2,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.3,BOWKER-T1-135.3,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.4,BOWKER-T1-135.4,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.5,BOWKER-T1-135.5,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.6,BOWKER-T1-135.6,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.7,BOWKER-T1-135.7,M. Bowker,1997,,D5,27,F,DIRECT LEAF PCR,,Mishler
T1-135.8,BOWKER-T1-135.8,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-135.9,BOWKER-T1-135.9,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-135.10,BOWKER-T1-135.10,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.1,BOWKER-T1-150.1,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.2,BOWKER-T1-150.2,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.3,BOWKER-T1-150.3,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.4,BOWKER-T1-150.4,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.5,BOWKER-T1-150.5,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.6,BOWKER-T1-150.6,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.7,BOWKER-T1-150.7,M. Bowker,1997,,D5,28,F,DIRECT LEAF PCR,,Mishler
T1-150.8,BOWKER-T1-150.8,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler
T1-150.9,BOWKER-T1-150.9,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler
T1-150.10,BOWKER-T1-150.10,M. Bowker,1997,,D6,29,,DIRECT LEAF PCR,,Mishler
T1-165.1,BOWKER-T1-165.1,M. Bowker,1997,,D6,29,F,DIRECT LEAF PCR,,Mishler
